,ObservationDate,Confirmed
409,2021-03-14,11385339.0
410,2021-03-15,11409831.0
411,2021-03-16,11438734.0
412,2021-03-17,11474605.0
413,2021-03-18,11514331.0
414,2021-03-19,11555284.0
415,2021-03-20,11599130.0
416,2021-03-21,11646081.0
417,2021-03-22,11686796.0
418,2021-03-23,11734058.0
419,2021-03-24,11787534.0
420,2021-03-25,11846652.0
421,2021-03-26,11908910.0
422,2021-03-27,11971624.0
423,2021-03-28,12039644.0
424,2021-03-29,12095855.0
425,2021-03-30,12149335.0
426,2021-03-31,12221665.0
427,2021-04-01,12303131.0
428,2021-04-02,12392260.0
429,2021-04-03,12485509.0
430,2021-04-04,12589067.0
431,2021-04-05,12686049.0
432,2021-04-06,12801785.0
433,2021-04-07,12928574.0
434,2021-04-08,13060542.0
435,2021-04-09,13205926.0
436,2021-04-10,13358805.0
437,2021-04-11,13527717.0
438,2021-04-12,13689453.0
439,2021-04-13,13873825.0
440,2021-04-14,14074564.0
441,2021-04-15,14291917.0
442,2021-04-16,14526609.0
443,2021-04-17,14788003.0
444,2021-04-18,15061805.0
445,2021-04-19,15320972.0
446,2021-04-20,15616130.0
447,2021-04-21,15930774.0
448,2021-04-22,16263695.0
449,2021-04-23,16610481.0
450,2021-04-24,16960172.0
451,2021-04-25,17313163.0
452,2021-04-26,17636186.0
453,2021-04-27,17997113.0
454,2021-04-28,18376421.0
455,2021-04-29,18762976.0
456,2021-04-30,19164969.0
457,2021-05-01,19557457.0
458,2021-05-02,19557457.0
